School,Athlete_Name,Product,Type,Price
Ohio State,Cayla Barnes,Red Women's Ice Hockey Team Hoodie,Hoodie,64.99
Ohio State,Cayla Barnes,Red Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,Cayla Barnes,Red Women's Ice Hockey Script Tee,Tee,39.99
Ohio State,Cayla Barnes,Red Women's Ice Hockey Script Hoodie,Hoodie,64.99
Ohio State,Cayla Barnes,Red Women's Ice Hockey Script Crew,Crew,54.99
Ohio State,NA,Men's Gymnastics White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Men's Gymnastics White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Men's Gymnastics The Tee,Tee,39.99
Ohio State,NA,Sport Grey Men's Gymnastics The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Men's Gymnastics The Crew,Crew,54.99
Ohio State,NA,Red Men's Gymnastics Team Tee,Tee,39.99
Ohio State,NA,Red Men's Gymnastics Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Gymnastics Team Crew,Crew,54.99
Ohio State,NA,Red Men's Gymnastics Script Tee,Tee,39.99
Ohio State,NA,Red Men's Gymnastics Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Gymnastics Script Crew,Crew,54.99
Ohio State,Jamison Battle  ,Ohio State Campus Edition NIL Jersey,Jersey,109.99
Ohio State,Jamison Battle  ,Ohio State Men's Red Basketball Jersey,Jersey,109.99
Ohio State,NA,Men's Basketball White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Men's Basketball White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Men's Basketball The Tee,Tee,39.99
Ohio State,NA,Sport Grey Men's Basketball The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Men's Basketball The Crew,Crew,54.99
Ohio State,NA,Red Men's Basketball Team Tee,Tee,39.99
Ohio State,NA,Red Men's Basketball Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Basketball Team Crew,Crew,54.99
Ohio State,NA,Red Men's Basketball Script Tee,Tee,39.99
Ohio State,NA,Red Men's Basketball Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Basketball Script Crew,Crew,54.99
Ohio State,NA,Ohio State Football Black Jersey,Jersey,109.99
Ohio State,NA,Red Football Team Tee,Tee,39.99
Ohio State,Nolan Baudo,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,Nolan Baudo,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Football Black Gridiron Tee,Tee,39.99
Ohio State,NA,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,NA,Football Black Gridiron Crew,Crew,54.99
Ohio State,NA,Football White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Football White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Football The Tee,Tee,39.99
Ohio State,NA,Sport Grey Football The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Football The Crew,Crew,54.99
Ohio State,NA,Red Football Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Team Crew,Crew,54.99
Ohio State,NA,Red Football Script Tee,Tee,39.99
Ohio State,NA,Red Football Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Football Script Crew,Crew,54.99
Ohio State,Colby Baumann  ,Ohio State Campus Edition NIL Jersey,Jersey,109.99
Ohio State,Colby Baumann  ,Ohio State Men's Red Basketball Jersey,Jersey,109.99
Ohio State,NA,Men's Basketball White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Men's Basketball White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Men's Basketball The Tee,Tee,39.99
Ohio State,NA,Sport Grey Men's Basketball The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Men's Basketball The Crew,Crew,54.99
Ohio State,NA,Red Men's Basketball Team Tee,Tee,39.99
Ohio State,NA,Red Men's Basketball Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Basketball Team Crew,Crew,54.99
Ohio State,NA,Red Men's Basketball Script Tee,Tee,39.99
Ohio State,NA,Red Men's Basketball Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Basketball Script Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Hoodie,Hoodie,54.99
